path,c_total,c_a-midsummer-nights-dream,c_alls-well-that-ends-well,c_antony-and-cleopatra,c_as-you-like-it,c_coriolanus,c_cymbeline,c_hamlet,c_henry-iv-part-1,c_henry-iv-part-2,c_henry-v,c_henry-vi-part-1,c_henry-vi-part-2,c_henry-vi-part-3,c_henry-viii,c_julius-caesar,c_king-john,c_king-lear,c_loves-labors-lost,c_macbeth,c_measure-for-measure,c_much-ado-about-nothing,c_othello,c_pericles,c_richard-ii,c_richard-iii,c_romeo-and-juliet,c_the-comedy-of-errors,c_the-merchant-of-venice,c_the-merry-wives-of-windsor,c_the-taming-of-the-shrew,c_the-tempest,c_the-two-gentlemen-of-verona,c_the-winters-tale,c_timon-of-athens,c_titus-andronicus,c_troilus-and-cressida,c_twelfth-night
[document]/TEI/text/body/div/div/sp/q/lg/l/c,917,0,166,0,125,0,0,19,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,16,0,86,78,126,0,0,47,30
[document]/TEI/text/body/div/div/sp/l/stage/c,911,6,8,16,28,25,28,23,6,30,0,8,51,12,15,13,15,67,25,23,33,0,51,22,30,60,7,26,33,2,39,37,17,45,43,36,11,20
[document]/TEI/text/body/div/div/sp/l/stage/w,901,6,8,16,24,25,28,23,6,30,0,8,51,12,15,13,15,67,25,23,33,0,51,21,29,60,7,26,33,2,38,37,17,44,42,36,11,19
[document]/TEI/text/body/div/div/sp/q/l/w,846,0,0,0,177,64,0,0,0,0,11,32,81,0,0,17,0,0,0,0,0,0,0,122,0,15,0,0,166,0,0,13,7,0,63,61,17,0
[document]/TEI/text/body/div/div,764,9,24,42,23,29,27,20,19,17,28,27,24,28,17,18,16,26,9,28,17,17,15,28,19,25,25,11,20,23,14,10,20,15,17,14,25,18
[document]/TEI/text/body/div/div/stage/stage/pc,758,8,14,23,8,30,36,10,36,9,22,86,61,81,36,26,19,29,2,39,0,15,4,0,6,32,1,3,4,16,3,28,1,2,9,26,29,4
[document]/TEI/text/body/div/div/head,756,9,24,42,23,29,27,20,19,17,23,27,24,28,16,18,16,26,9,28,17,17,15,27,19,25,24,11,20,23,14,10,20,15,17,14,25,18
[document]/TEI/text/body/div/div/head/c,752,9,23,42,22,29,27,20,19,17,23,27,24,28,16,18,16,26,9,28,17,17,15,26,19,25,24,11,20,23,14,9,20,15,17,14,25,18
[document]/TEI/text/body/div/div/sp/p/q/w,732,0,70,0,0,0,0,0,85,107,0,49,15,0,0,0,0,99,67,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,232
[document]/TEI/text/body/div/div/sp/q/l/c,717,0,0,0,149,55,0,0,0,0,9,27,70,0,0,14,0,0,0,0,0,0,0,103,0,13,0,0,138,0,0,11,6,0,57,52,13,0
[document]/TEI/text/front/castList/castGroup/castItem/role,695,14,11,15,19,18,19,14,24,19,17,38,43,27,41,16,21,19,12,18,23,20,11,27,16,28,21,18,13,16,10,12,13,20,12,16,1,13
[document]/TEI/text/front/castList/castGroup/castItem/role/name,667,14,11,15,19,18,19,10,24,19,15,39,43,27,41,8,21,19,13,13,23,20,9,27,16,28,19,18,11,16,5,12,13,20,12,16,1,13
[document]/TEI/text/body/div/div/sp/stage/stage/w,615,1,0,11,32,37,66,43,35,2,10,43,13,13,9,11,9,7,10,19,57,0,13,12,10,10,4,0,8,13,10,45,0,21,9,4,24,4
[document]/TEI/text/body/div/div/sp/p/q/c,610,0,60,0,0,0,0,0,67,91,0,43,11,0,0,0,0,88,56,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,188
[document]/TEI/text/body/div/div/stage/stage,585,7,15,21,7,23,18,10,24,5,19,52,40,62,23,27,10,27,1,37,0,12,4,0,9,19,2,2,4,10,3,24,1,3,11,25,23,5
[document]/TEI/text/body/div/div/sp/l/stage/pc,543,3,4,9,13,21,29,11,3,9,0,12,26,16,9,8,11,29,10,8,16,0,21,19,11,47,3,13,12,6,19,17,10,24,50,26,9,9
[document]/TEI/text/body/div/div/sp/lg,525,104,7,0,20,0,32,14,0,0,3,0,0,0,2,0,3,13,235,0,2,13,6,6,3,0,1,16,0,1,0,8,5,17,1,0,0,13
[document]/TEI/text/body/div/div/sp/q/pc,500,0,40,0,0,0,53,10,0,0,0,0,0,5,14,16,0,23,149,20,10,0,0,0,0,0,10,0,30,27,0,0,40,21,0,0,0,32
[document]/TEI/text/body/div/div/sp/p/stage/w,438,6,21,3,16,11,1,11,20,30,10,0,17,0,0,0,0,12,38,4,13,10,2,5,0,0,4,0,5,78,8,14,8,6,15,0,10,60
[document]/TEI/text/body/div/div/sp/l/stage,417,3,4,7,14,11,17,11,3,9,0,6,20,6,7,8,7,29,10,8,16,0,21,13,12,28,3,11,12,2,21,17,8,23,17,18,5,10
[document]/TEI/text/body/div/div/sp/stage/stage/c,417,0,0,6,18,28,41,36,27,1,6,30,10,13,5,7,5,4,7,12,29,0,8,8,7,6,2,0,4,8,5,40,0,17,6,2,17,2
[document]/TEI/text/front/castList/castGroup/castItem/roleDesc,407,14,8,7,19,12,12,8,19,7,6,14,18,4,13,4,15,13,10,10,16,10,10,19,5,15,12,17,11,13,5,9,13,14,4,10,0,11
[document]/TEI/text/front/castList/castGroup/castGroup/castItem,386,8,10,22,9,0,2,13,0,24,30,52,14,18,2,27,4,0,6,7,0,4,2,2,18,14,3,0,8,6,29,2,0,4,18,10,16,2
[document]/TEI/text/body/div/head/w,376,10,10,10,10,10,10,10,10,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,11,10,10,10,10,10,10,10
[document]/TEI/text/body/div/div/sp/p/stage/c,372,6,15,3,14,10,1,10,11,26,8,0,14,0,0,0,0,11,33,3,10,9,2,5,0,0,4,0,5,68,7,11,6,6,13,0,7,54
